TEAM_ID,PLAYER_NAME,PLAYER_ID,TEAM_NBACOM,POS,ROLE,GP,MIN,POSS,PTS,REB,AST,STL,BLK,TOV,FG2_PCT,FG3_PCT,OREB,DREB,FG3A,AT_RIM_FGA,AT_RIM_FREQUENCY,AT_RIM_ACCURACY,MID_FGA,MID_FREQUENCY,MID_ACCURACY,THREE_FREQUENCY,THREE_ACCURACY,rTS,USG_PCT,BOX_CREATION,OFF_LOAD,FTA_RATE,OREB_PCT,DREB_PCT,AST_PCT,STL_PCT,BLK_PCT,TOV_PCT
1610612741,Mac McClung,1630644,CHI,SG,Combo,4,47,101,23,5,2,5,2,3,0.538,0.167,0,5,12,8,0.32,0.75,5,0.2,0.2,0.48,0.167,-12.8,26.7,1.8,32.2,0.16,0,11.8,6.3,5.1,3.7,10.1
1610612764,Malaki Branham,1631103,WAS,SG,Combo,28,275,592,128,44,23,10,3,15,0.537,0.378,12,32,37,35,0.385,0.6,19,0.209,0.421,0.407,0.378,4.6,18.4,3.1,25.5,0.374,4.6,12.4,11.9,1.7,1,12.4
1610612744,Malevy Leons,1642502,GSW,SF,Forward,7,47,103,21,18,3,3,2,3,0.636,0.25,8,10,4,9,0.6,0.667,2,0.133,0.5,0.267,0.25,3.7,18.6,2,23.7,0.4,18.6,23.6,9.3,3.1,3.9,14.5
1610612758,Malik Monk,1628370,SAC,SG,Combo,49,1075,2291,601,94,127,31,18,70,0.457,0.407,12,82,243,66,0.133,0.712,188,0.378,0.367,0.489,0.407,0.5,23.8,5.6,34.5,0.167,1.2,8.8,18.1,1.4,1.5,11.6
1610612755,MarJon Beauchamp,1630699,PHI,SF,Combo,2,36,82,18,7,5,3,1,3,0.429,0.429,1,6,7,4,0.286,0.75,3,0.214,0,0.5,0.429,1.3,22.1,5.3,31.3,0.286,3,18.7,20.3,4,2.6,16
1610612765,Marcus Sasser,1631204,DET,PG,Point,19,181,394,95,16,35,11,2,15,0.538,0.404,1,15,47,11,0.151,0.636,15,0.205,0.467,0.644,0.404,5.2,21.1,8,36,0.151,0.6,9,27.1,2.9,1.1,16.2
1610612747,Marcus Smart,203935,LAL,SG,Combo,50,1410,2945,473,144,139,65,18,76,0.513,0.333,31,113,231,55,0.144,0.673,97,0.253,0.423,0.603,0.333,-0.8,15.6,2.4,22.5,0.279,2.7,9.1,13,2.2,1.2,15
1610612749,Mark Sears,1641813,MIL,PG,Point,7,26,56,22,2,2,0,0,4,NA,NA,1,1,8,NA,NA,NA,NA,NA,NA,NA,NA,10.8,34.8,NA,NA,0.615,4.4,4.3,12.3,0,0,19.5
1610612756,Mark Williams,1631109,PHX,C,Big,55,1300,2743,638,443,56,50,50,58,0.635,1,171,272,1,279,0.687,0.71,126,0.31,0.468,0.002,1,11.3,17.4,1.7,22.1,0.387,14,23.8,6.6,1.9,3.7,10.9
1610612742,Marvin Bagley III,1628963,DAL,PF,Big,45,898,1939,476,278,62,23,34,51,0.639,0.435,120,158,23,205,0.666,0.702,80,0.26,0.475,0.075,0.435,10,19.2,2.7,25.6,0.396,14.1,18.6,10.6,1.2,3.3,12.4
